"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
22169,12,7,1,39,1,2,95,13,60,100,0,32
22216,12,13,1,72,1,2,262,13,60,100,0,210
22256,12,8,1,26,1,2,99,13,60,100,0,5873
22265,12,10,1,30,1,2,140,13,60,100,0,44
22273,12,12,1,43,1,2,169,13,60,100,0,34
22289,12,5,1,91,1,2,779,13,60,100,0,4832
22294,12,6,1,100,1,2,796,13,60,100,0,43
22301,12,7,1,101,1,2,797,13,60,100,0,34
22317,12,9,1,105,1,2,805,13,60,100,0,28
22384,12,11,1,111,1,2,876,13,60,100,0,29
22427,12,27,1,167,1,3,1065,13,60,100,0,88
22457,12,76,1,375,1,5,2294,13,60,100,0,55
22471,12,14,2,126,2,2,1006,95,71,100,0,245
22488,12,92,1,435,1,11,2605,13,60,100,0,200
22542,12,20,1,145,1,2,1059,13,60,100,0,216
22599,12,92,1,425,1,6,2587,13,60,100,0,74
22623,12,47,2,237,2,4,1476,29,65,100,0,1564
22651,12,12,1,45,1,2,129,13,71,100,0,10102
22755,12,17,1,46,1,2,89,13,60,100,0,48
22780,12,8,1,18,1,3,124,13,60,100,0,30411
22792,12,14,1,42,1,3,213,13,60,100,0,315
22843,12,24,1,63,1,2,383,13,60,100,0,35
22854,12,10,1,21,1,1,63,13,63,100,0,23
22871,12,12,1,29,1,1,97,13,63,100,0,26
22891,12,16,1,23,1,1,141,13,63,100,0,46714
22898,12,8,1,23,1,1,69,13,66,100,0,175184
22907,12,8,1,23,1,1,69,13,63,100,0,26
22914,12,27,1,121,1,1,329,13,64,100,0,2020
22934,12,29,1,128,1,1,338,13,64,100,0,26
22965,12,34,1,171,1,1,471,13,64,100,0,23
22994,12,40,1,183,1,2,502,13,64,100,0,16425
23042,12,7,1,64,1,1,261,13,62,100,0,45
23057,12,4,1,26,1,1,97,13,62,100,0,39
23077,12,21,1,87,1,1,465,13,62,100,0,1219
23095,12,22,1,99,1,1,480,13,62,100,0,26
23136,12,24,1,112,1,1,526,13,62,100,0,31
23173,12,25,1,114,1,1,528,13,62,100,0,26
23218,12,7,1,8,1,2,26,7,2,100,0,50
23233,12,7,1,8,1,2,24,5,2,100,0,43
23276,12,10,1,19,1,2,59,9,62,100,0,41
23297,12,11,1,35,1,3,146,11,62,100,0,24
23313,12,13,1,39,1,3,158,9,62,100,0,34
23349,12,18,1,45,1,4,164,9,62,100,0,736921
23381,12,9,1,99,1,1,383,13,62,100,0,11488
23405,12,11,1,109,1,1,420,13,62,100,0,37
23424,12,15,1,116,1,1,452,13,62,100,0,38
23441,12,17,1,119,1,1,486,13,62,100,0,34
23455,12,74,3,426,5,4,1952,72,69,100,0,164
23479,12,19,1,158,1,1,655,13,62,100,0,47
23523,12,7,1,19,1,2,64,13,62,100,0,1631
23543,12,8,1,37,1,2,136,13,62,100,0,33
23605,12,8,1,16,1,2,67,9,62,100,0,65
23634,12,21,1,93,1,2,274,13,62,100,0,3151
23650,12,25,1,116,1,2,323,13,62,100,0,1070
23689,12,37,3,160,3,2,2013,27,74,100,0,169314
23732,12,38,1,166,1,2,2018,13,66,100,0,32
23769,12,39,1,168,1,2,2020,13,66,100,0,40
23798,12,40,1,171,1,2,2024,13,66,100,0,28
23859,12,23,1,46,1,2,340,13,70,100,0,214215
23883,12,25,1,53,1,2,360,13,70,100,0,32
23954,12,7,1,11,1,2,144,13,70,100,0,714240
23973,12,8,1,17,1,2,162,13,70,100,0,37
24114,12,13,1,26,1,3,54,7,2,100,100,314312
24153,12,8,1,22,1,2,95,13,70,100,0,51
24196,12,19,1,67,1,3,317,13,70,100,0,349
24207,12,10,1,22,1,1,92,13,70,100,0,65
24220,12,14,1,43,1,1,313,13,70,100,0,38
24240,12,37,1,132,1,1,1761,13,70,100,0,31
24298,12,123,1,755,1,7,5015,13,66,100,0,34
24350,12,12,1,31,1,1,205,13,70,100,0,320
24415,12,6,1,29,1,2,108,13,70,100,0,170216
24479,12,9,1,12,1,2,50,13,70,100,0,45
24501,12,3,1,10,1,2,23,13,70,100,0,33
24551,12,11,1,59,1,3,608,13,70,100,0,60
24614,12,9,1,63,1,2,129,13,70,100,0,262222
24639,12,10,1,65,1,3,131,13,70,100,0,32
24661,12,12,1,68,1,3,142,13,70,100,0,39
24809,12,13,1,25,1,3,51,13,70,100,0,76
24824,12,22,1,90,1,3,112,13,70,100,0,73
24836,12,24,1,95,1,3,158,13,70,100,0,558
24846,12,25,1,99,1,3,165,13,70,100,0,61
24904,12,8,3,49,5,2,391,64,78,100,0,128330
24929,12,10,1,53,1,2,245,13,70,100,0,2128
24948,12,20,1,74,1,3,340,13,70,100,0,31
24971,12,25,1,142,1,3,601,13,70,100,0,43
25025,12,34,1,155,1,4,691,13,70,100,0,33
25057,12,35,1,159,1,4,696,13,70,100,0,34
25077,12,41,1,178,1,4,723,13,70,100,0,42
25105,12,41,2,201,2,4,793,18,72,100,0,30
25136,12,44,1,218,1,4,813,13,70,100,0,40
25170,12,68,1,342,1,6,989,13,70,100,0,452498
25212,12,8,1,12,1,3,27,7,70,100,0,28
25224,12,9,1,14,1,3,29,7,70,100,0,21
25236,12,11,1,18,1,3,68,13,70,100,0,31
25246,12,12,1,20,1,3,70,13,70,100,0,254
25263,12,18,1,45,1,3,117,13,70,100,0,29
25275,12,30,3,120,3,3,246,34,74,100,0,56
25422,12,31,1,122,1,4,263,13,70,100,0,84
25457,12,106,1,550,1,14,1584,13,70,100,0,23
25524,12,108,1,560,1,14,1696,13,70,100,0,530
25606,12,659,1,2983,1,45,39579,12,61,100,0,1167
25752,12,123,1,658,1,17,2480,13,70,100,0,940
25819,12,92,1,471,1,7,1696,13,70,100,0,976
25908,12,23,1,71,1,3,271,13,70,100,0,408
25924,12,27,1,78,1,4,292,13,70,100,0,436
25948,12,30,1,84,1,5,307,13,70,100,0,333
25963,12,36,1,98,1,5,381,13,70,100,0,95
26051,12,8,1,19,1,3,32,7,64,100,0,45
26059,12,34,1,47,1,8,123,7,64,100,0,92185
26110,12,101,1,380,1,15,1794,13,70,100,0,1472
26158,12,102,1,383,1,15,1795,13,70,100,0,656090
26495,12,11,1,17,1,3,68,13,70,100,0,855905
1823,4,24,6,120,6,2,1236,72,2,100,0,73
1859,4,30,6,174,6,2,396,30,2,0,0,2374
1922,4,24,6,486,6,1,1968,30,2,0,0,4687
1969,4,30,18,1116,84,2,3690,1620,28,28.5714285714286,0,176
