"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
42928,68,2,2,28,2,3,394,352,10,0,0,273914
43166,68,13,1,44,1,2,446,12,2,0,0,1705
43264,68,36,1,134,1,8,1035,88,2,0,0,103
43939,68,11,1,42,1,3,181,6,2,0,0,124
44751,68,117,7,542,7,9,3710,46,14,0,0,55230
45217,68,4,1,18,1,2,222,188,5,0,0,8939
45479,68,221,13,1021,14,8,22974,161,28,0,0,5431
45757,68,51,3,70,3,6,258,20,6,0,0,11683
46113,68,14,4,24,4,2,350,26,8,0,0,2460
46159,68,25,2,50,2,5,151,10,4,0,0,18472
46219,68,17,1,84,1,4,663,14,2,0,0,61553
46238,68,55,1,159,2,6,1398,26,4,0,0,819
46367,68,2,1,3,1,3,16,5,2,0,0,11644
46482,68,32,3,505,10,3,1819,87,20,0,0,4057
46522,68,70,1,718,1,10,2780,13,2,0,0,28169
46898,68,137,2,717,2,9,25906,19,6,0,0,300
47035,68,86,1,468,1,7,23973,106,10,0,0,397118
47516,68,58,1,181,1,14,2371,49,2,0,0,217
47873,68,200,3,487,3,17,4379,54,7,0,0,2662
47959,68,190,1,379,2,11,2998,261,5,0,0,307
47970,68,13,2,21,2,4,53,20,4,0,0,178
48304,68,29,1,81,1,6,724,5,2,0,0,125
48612,68,144,1,195,1,6,2876,16,2,0,0,13198
48817,68,26,1,45,1,7,2777,5,2,0,0,24018
49411,68,219,1,588,1,15,10010,15,2,0,0,267
50251,68,1,1,6,2,2,327,280,4,0,0,1204
50252,68,1,1,2,1,3,19,17,2,0,0,24922
51105,68,79,1,402,1,5,2176,9,2,0,0,8719
52460,68,199,2,808,9,9,1846,82,19,0,0,450
52475,68,21,1,34,1,1,266,5,2,0,0,169
54171,68,44,1,219,1,4,1007,11,2,0,0,414
54332,68,65,1,144,1,6,7626,8,2,0,0,201
55887,68,70,3,186,8,8,1270,112,16,0,0,7202
55890,68,5,2,35,6,3,294,83,12,0,0,7769
55959,68,30,1,427,8,9,750,40,16,0,0,64
55990,68,8,1,26,1,3,136,36,2,0,0,119
56092,68,129,2,754,2,20,13757,235,4,0,0,154
56096,68,2,2,6,2,1,241,235,4,0,0,154
56137,68,150,1,834,2,22,14240,64,10,0,0,1068
56145,68,5,1,36,2,3,243,64,10,0,0,1068
56375,68,69,1,481,9,11,2565,130,24,0,11.1111111111111,1753
56952,68,593,4,2709,6,49,60854,38,12,0,0,283
57466,68,37,1,65,2,7,217,10,4,0,0,120
57978,68,1,1,1,1,2,5,5,2,0,0,301265
58457,68,169,4,276,4,7,1741,32,8,0,0,65798
58468,68,3,1,5,1,4,22,5,2,0,0,34371
59136,68,228,1,456,1,6,5988,375,2,0,0,175537
59489,68,588,3,3515,3,46,24481,75,6,0,0,269
79677,68,76,1,139,1,7,595,5,2,0,0,68
79975,68,32,1,43,1,4,150,5,2,0,0,63566
80123,68,51,2,62,2,3,439,10,4,0,0,771
80316,68,71,1,205,1,11,1093,5,2,0,0,12903
106983,68,1,1,9,1,2,30,14,2,0,0,200
115934,68,62,1,143,1,2,354,5,2,0,0,244415
10056,16,39,1,81,5,12,1369,34,10,0,0,141955
11154,16,140,1,646,1,30,10570,36,2,0,0,644
11607,44,10,1,580,1,3,3303,9,2,0,0,1676
11955,44,6,2,30,2,2,118,38,4,0,0,11632
11963,44,7,1,29,1,2,94,15,2,0,0,112
17178,44,12,1,23,1,2,68,5,2,0,0,39522
17762,44,88,1,100,1,8,37361,191,10,0,0,69265
18040,44,1,1,9,1,3,15,6,2,0,0,56349
18131,44,1,1,11,1,2,35,11,2,0,0,78
18151,44,1,1,6,2,3,20,14,4,0,0,1140
18250,44,1,1,7,1,5,11,5,2,0,0,9777
18335,44,2,1,9,1,3,50,18,2,0,0,3963
18343,44,1,1,8,1,3,30,11,2,0,0,44989
18418,44,1,1,6,1,4,11,5,2,0,0,57
18521,44,2,1,15,3,4,87,73,6,0,0,1492
18625,44,2,1,14,3,2,100,59,6,0,0,1196
18634,44,1,1,11,1,2,19,5,2,0,0,2930
18800,44,2,1,24,1,4,38,6,2,0,0,261
18817,44,1,1,7,1,1,20,9,2,0,0,53213
18847,44,4,1,23,1,4,55,12,2,0,0,406
18908,44,3,1,6,1,4,55,49,2,0,0,3736
18909,44,3,1,6,1,4,69,63,2,0,0,18417
19322,44,3,1,7,1,3,11,5,2,0,0,4223
19934,44,2,1,6,1,4,10,5,2,0,0,1243
19987,44,3,1,16,1,4,22,5,2,0,0,2649
21370,44,1,1,35,1,2,68,16,2,0,0,29
22560,44,9,1,21,1,10,123,5,2,0,0,674
22597,44,1,1,7,1,3,11,5,2,0,0,53
22658,44,14,1,41,1,5,213,5,2,0,0,556
24725,44,14,1,17,1,2,2010,45,2,0,0,11902
25861,44,11,1,51,1,8,115,5,2,0,0,5369
28804,44,43,1,292,1,12,2504,78,2,0,0,6934
29168,44,26,1,84,1,14,523,83,2,0,0,3997
29225,44,34,1,133,1,14,4197,17,2,0,0,7962
34508,44,13,1,67,1,9,433,5,2,0,0,24452
108587,44,55,2,109,3,7,2315,21,6,0,0,459
111803,44,738,1,1822,1,72,111047,91,2,0,0,109412
113710,44,61,1,3176,1,3,12680,7,2,0,0,17003
115296,44,187,1,4481,1,20,23337,82,2,0,0,23824
116296,44,24,1,136,1,4,1060,7,2,0,0,23865
142079,44,131,2,3785,3,7,15244,59,6,0,0,213510
1875,52,4,1,29,1,3,202,60,56,0,0,101516
3265,52,6,1,18,1,2,174,81,63,0,0,42855
3316,52,6,1,23,1,2,182,81,63,0,0,368
4946,52,17,1,180,1,3,366,5,2,0,0,1964
5162,52,7,1,20,1,2,123,5,2,0,0,38439
5773,52,13,1,106,1,6,659,5,2,0,0,639
6263,52,10,1,21,1,4,139,5,2,0,0,10296
6373,52,7,1,36,1,2,126,5,2,0,0,383
6585,52,2,1,10,1,3,31,5,2,0,0,417
7142,52,28,1,198,1,11,1960,5,2,0,0,6402
8409,52,11,1,95,1,5,369,5,2,0,0,102
8492,52,4,1,13,2,1,74,12,104,0,0,78
8508,52,4,1,12,2,1,37,12,104,0,0,56
8882,52,18,1,209,2,3,3760,269,4,0,0,676
10230,52,1,1,3,1,1,17,11,3,0,0,399
10781,52,36,1,594,1,19,1795,7,2,0,0,569
3425,53,59,1,310,1,2,9959,46,2,0,0,3423
3609,53,11,1,67,1,1,537,7,2,0,0,201
10404,53,77,2,302,2,1,3200,94,4,0,0,1165
10798,53,855,5,1496,5,2,65913,46,10,0,0,87035
10876,53,107,1,459,1,1,1671,21,2,0,0,8513
13514,53,57,6,270,6,1,993,30,12,0,0,311
13563,53,134,1,155,4,1,222,23,8,0,0,3751
13757,53,35,2,127,2,1,346,14,4,0,0,74277
13880,53,48,4,462,6,1,3122,34,88,0,0,57421
17558,53,815,9,10638,19,3,237789,243,38,0,0,20915
20344,53,130,82,1141,82,2,5234,446,164,0,0,208614
20697,53,203,41,518,41,4,25257,217,82,0,0,166
20911,53,130,84,741,85,1,8517,594,170,0,0,17543
21565,53,253,86,2487,91,8,12097,1675,182,0,0,3889
21736,53,249,5,1890,5,7,19427,55,10,0,0,3514
21910,53,159,3,4209,13,1,46535,1059,26,0,7.69230769230769,73
22153,53,127,1,598,1,1,17814,17,2,0,0,86751
22258,53,131,80,1620,80,3,39143,436,232,0,0,59756
22528,53,303,42,825,42,1,67647,222,120,0,0,151
23071,53,291,1,2978,1,1,91110,74,2,0,0,954
23504,53,139,25,425,25,3,1301,125,50,0,0,4004
23683,53,136,1,450,1,1,1096,13,2,0,0,2079
24492,53,86,47,694,50,1,2134,362,100,0,0,48
24710,53,81,47,541,47,1,2795,281,154,0,0,96
24909,53,114,3,589,3,1,1695,41,8,0,0,75
27215,53,166,2,3183,2,11,46032,91,4,0,0,417711
46528,53,164,2,1023,2,11,3178,28,186,0,0,2236485
75202,53,188,1,5129,1,28,20183,7,2,0,0,580955
97961,53,1,1,6,1,2,22,13,2,0,0,145
98987,53,141,1,1534,1,3,10392,195,2,0,100,172
99834,53,15,1,119,1,3,4345,17,2,0,0,909
99854,53,38,1,49,1,3,3151,17,2,0,0,127
100165,53,145,1,882,1,3,4341,30,2,0,0,503
100182,53,135,1,335,1,2,875,30,2,0,0,1599
100240,53,112,1,172,1,1,205,12,2,0,0,683405
2851,50,3,1,3,1,2,21,17,2,0,0,157
3561,50,13,1,43,2,4,549,20,4,0,0,17415
3968,50,11,2,23,2,2,1242,18,4,0,0,6465
4305,50,11,1,22,1,3,111,5,2,0,0,529581
6456,50,11,1,19,1,3,661,12,2,0,0,337
6488,50,2,1,4,1,2,90,7,2,0,0,181018
6506,50,1,1,3,1,2,15,11,2,0,0,5726
6510,50,1,1,1,1,2,7,7,2,0,0,207
6838,50,6,2,37,2,10,696,229,8,0,0,23668
6867,50,7,2,46,7,6,433,80,14,0,0,52560
6876,50,2,1,6,1,1,22,15,2,0,0,186
6884,50,1,1,2,1,1,16,15,2,0,0,588
6995,50,2,1,4,1,1,17,14,4,0,0,93
7093,50,6,1,28,1,8,158,5,2,0,0,347
7098,50,1,1,3,1,1,7,5,2,0,0,117
83378,50,1,1,1,1,1,25,25,2,0,0,110718
83380,50,11,5,80,6,4,279,87,14,0,0,28382
83401,58,10,1,38,1,1,176,5,2,0,0,255
90596,58,4,1,15,1,2,64,26,3,0,0,55077
90803,58,17,1,55,2,1,368,12,4,0,0,314
90949,58,33,3,112,4,2,1532,56,8,0,0,761
90977,58,23,1,52,1,3,331,23,2,0,0,70589
91494,58,97,1,351,2,8,2030,14,4,0,0,178239
2010,45,22,1,35,1,2,310,33,4,0,0,386
2237,45,4,1,11,1,2,62,13,2,0,0,1291
2997,45,16,1,43,1,2,145,13,2,0,0,54462
3209,45,26,1,67,1,3,933,44,2,0,0,2647
5622,45,132,1,1029,1,2,2509,21,2,0,0,835
24598,25,1600,1,2994,1,9,410875,5,2,0,0,552
40401,25,137,4,440,6,15,3096,57,12,0,0,21292
54666,25,214,2,536,2,11,9523,17,4,0,0,85951
